
2KOTH.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
lab_redo_a3, , 2633, 13790, , 39640, 6272, 45912, 85816, 137406
uplink_a4, , 2368, 8708, , 25931, 7936, 33867, 66787, 101049
RIVERA2.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 325, 4644, , 13084, 17920, 31004, 75980, 92784
ROUND_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
track, , 17, 85, , 192, 0, 192, 362, 576
SB_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
battleships_b2, , 470, 2126, , 5475, 0, 5475, 9727, 16425
SCAVENGE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
proto, , 94, 584, , 1624, 0, 1624, 2792, 4872
Special Delivery, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
ink_factory_a1, , 270, 2028, , 5451, 0, 5451, 9507, 16353
SEASIDE-SPAIN.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 955, 5100, , 15180, 0, 15180, 25380, 45540
SFM_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
noir, , 708, 3503, , 9424, 0, 9424, 16430, 28272
SG_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
SURF_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
10x_reload_tf2_gon, , 2339, 14601, , 41258, 0, 41258, 70460, 123774
air_arena_v3, , 1771, 7775, , 22207, 0, 22207, 37757, 66621
air_arena_v4, , 1669, 7195, , 20189, 0, 20189, 34579, 60567
buck-ed_up_tf2, , 1844, 7166, , 20102, 0, 20102, 34434, 60306
buck-wild_tf2, , 2189, 9858, , 26433, 0, 26433, 46149, 79299
ctf_velocity_tf2_v1, , 1852, 12235, , 45751, 0, 45751, 70221, 137253
empyrean_beta, , 2017, 9680, , 31962, 0, 31962, 51322, 95886
forbidden_ways_reloaded, , 4608, 15182, , 46896, 0, 46896, 77260, 140688
frictional, , 808, 8081, , 18190, 352, 18542, 35364, 55560
fun, , 887, 10371, , 32336, 0, 32336, 53078, 97008
horizon_v3, , 6320, 19468, , 47294, 0, 47294, 86230, 141882
insanity_tf2, , 417, 5525, , 13812, 0, 13812, 24862, 41436
revolution_v1, , 1632, 7591, , 20625, 0, 20625, 35807, 61875
royal, , 3594, 17971, , 48984, 10240, 59224, 115566, 177552
supermario, , 2964, 17004, , 44294, 9760, 54054, 107262, 161682
tensile, , 5188, 17371, , 50174, 0, 50174, 84916, 150522
thrill3r_tf2, , 2585, 13541, , 38112, 0, 38112, 65194, 114336
utopia_v3, , 6873, 41325, , 100116, 0, 100116, 182766, 300348
TC_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
hr_gridmaster_v1, , 2534, 7914, , 22284, 384, 22668, 39216, 67932
hydro_unpacked, , 7427, 21322, , 61305, 54304, 115609, 260109, 336699
lief, , 960, 7310, , 19538, 352, 19890, 35194, 59640
TEST_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
block_bullets_transparent, , 32, 222, , 540, 0, 540, 984, 1620
heatma, , 36, 911, , 2595, 0, 2595, 4417, 7785
kotc, , 16, 107, , 276, 0, 276, 490, 828
sg_logic3, , 433, 1831, , 5293, 384, 5677, 10095, 17013
teleport_scramble, , 598, 1769, , 5960, 0, 5960, 9498, 17880
teleport_scramble_2, , 598, 1769, , 5960, 0, 5960, 9498, 17880
teleport_scramble_4_alarm, , 694, 2256, , 7284, 0, 7284, 11796, 21852
texture_skew, , 26, 95, , 230, 0, 230, 420, 690
TF_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
bigcity, , 7324, 30353, , 77845, 2048, 79893, 144679, 239655
THE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
trainyard, , 857, 4585, , 12223, 2944, 15167, 29857, 44949
TR_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
airway_b4, , 1583, 14732, , 40404, 512, 40916, 71400, 122742
dustbowl, , 6010, 18106, , 57121, 28960, 86081, 177853, 254703
target, , 830, 2628, , 9254, 128, 9382, 14890, 28140
walkway_rc2, , 2757, 8526, , 23379, 12800, 36179, 78467, 107991
TRADE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
minecraftworld_a4, , 2675, 10959, , 26127, 0, 26127, 48045, 78381
plaza, , 250, 2137, , 6070, 0, 6070, 10344, 18210
TRAIN_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
example, , 49, 193, , 460, 0, 460, 846, 1380
world, , 115, 764, , 2106, 160, 2266, 4094, 6768
TRAINYARD_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
concept, , 308, 2819, , 7318, 0, 7318, 12956, 21954
UNDERGROUND_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
ctf, , 878, 3942, , 12630, 0, 12630, 20514, 37890
VALLEY_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
deathmatch, , 208, 1232, , 3608, 0, 3608, 6072, 10824
VERTICALITY_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
experiment, , 145, 1016, , 2661, 0, 2661, 4693, 7983
VSH_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
castle_siege_b11, , 3865, 11047, , 31679, 24000, 55679, 123937, 164283
megaman6_b5d, , 5285, 19132, , 54387, 0, 54387, 92651, 163161
tower_of_peril_redux_v6, , 664, 2457, , 8377, 896, 9273, 15951, 27777
warebloom_b7, , 514, 1573, , 4970, 0, 4970, 8116, 14910
ZS_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
viaduct_v7, , 4083, 13193, , 45249, 15040, 60289, 115403, 178839
